schema_name,proname,oid,identity_args,prokind,prosecdef,owner,proacl,proconfig,search_path_pinned,search_path_value,rolsuper,rolcreaterole,rolcreatedb,rolbypassrls
public,is_blocked_either_way,19152,"p_user_id uuid, p_other_id uuid",f,false,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}",null,false,null,false,true,true,true
public,is_following,18924,"p_follower uuid, p_following uuid",f,false,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,is_venue_admin_or_owner,19217,p_venue_id uuid,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,notify_admins_for_report,19641,"p_report_id uuid, p_message text, p_extra_data jsonb",f,true,postgres,"{postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,owner_add_venue_photo,19249,"p_venue_id uuid, p_image_path text, p_caption text",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,owner_create_venue_event,19220,"p_venue_id uuid, p_title text, p_event_type text, p_starts_at timestamp with time zone, p_ends_at timestamp with time zone, p_description text, p_ticket_info text, p_website_url text, p_booking_url text, p_contact_phone text, p_is_published boolean",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,owner_create_venue_opening_hour,19414,"p_venue_id uuid, p_label text, p_day_of_week smallint, p_opens_at time without time zone, p_closes_at time without time zone, p_is_closed boolean, p_order_index integer",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,owner_create_venue_pricing_tier,19447,"p_venue_id uuid, p_label text, p_price text, p_unit text, p_audience venue_pricing_audience, p_order_index integer",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,owner_create_venue_species_stock,19482,"p_venue_id uuid, p_species_name text, p_record_weight numeric, p_record_unit text, p_avg_weight numeric, p_size_range_min numeric, p_size_range_max numeric, p_stock_density venue_stock_density, p_stock_notes text",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,owner_delete_venue_event,19222,p_event_id uuid,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,owner_delete_venue_opening_hour,19416,p_id uuid,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,owner_delete_venue_photo,19250,p_id uuid,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,owner_delete_venue_pricing_tier,19422,p_id uuid,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,owner_delete_venue_species_stock,19484,p_id uuid,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,owner_get_venue_by_slug,19635,p_slug text,f,true,postgres,"{postgres=X/postgres,service_role=X/postgres,authenticated=X/postgres}","[""search_path=\""\""""]",true,"""""",false,true,true,true
public,owner_get_venue_events,19219,p_venue_id uuid,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,owner_set_venue_photo_primary,19492,p_photo_id uuid,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,owner_update_venue_booking,19412,"p_venue_id uuid, p_booking_enabled boolean",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,owner_update_venue_event,19221,"p_event_id uuid, p_title text, p_event_type text, p_starts_at timestamp with time zone, p_ends_at timestamp with time zone, p_description text, p_ticket_info text, p_website_url text, p_booking_url text, p_contact_phone text, p_is_published boolean",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,owner_update_venue_metadata,19445,"p_venue_id uuid, p_tagline text, p_description text, p_ticket_type text, p_best_for_tags text[], p_facilities text[], p_price_from text, p_website_url text, p_booking_url text, p_contact_phone text, p_payment_methods text[], p_payment_notes text",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,owner_update_venue_opening_hour,19415,"p_id uuid, p_venue_id uuid, p_label text, p_day_of_week smallint, p_opens_at time without time zone, p_closes_at time without time zone, p_is_closed boolean, p_order_index integer",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,owner_update_venue_pricing_tier,19448,"p_id uuid, p_venue_id uuid, p_label text, p_price text, p_unit text, p_audience venue_pricing_audience, p_order_index integer",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,owner_update_venue_rules,19426,"p_venue_id uuid, p_rules_text text",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,owner_update_venue_species_stock,19483,"p_id uuid, p_venue_id uuid, p_species_name text, p_record_weight numeric, p_record_unit text, p_avg_weight numeric, p_size_range_min numeric, p_size_range_max numeric, p_stock_density venue_stock_density, p_stock_notes text",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,rate_catch_with_rate_limit,18904,"p_catch_id uuid, p_rating integer",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,react_to_catch_with_rate_limit,18903,"p_catch_id uuid, p_reaction text",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,refresh_leaderboard_precompute,19615,p_catch_id uuid,f,true,postgres,"{postgres=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,request_account_deletion,19067,p_reason text,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,request_account_export,19066,,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,set_comment_admin_author,19638,,f,false,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,set_updated_at,18593,,f,false,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}",null,false,null,false,true,true,true
public,soft_delete_comment,18957,p_comment_id uuid,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,unblock_profile,19151,p_blocked_id uuid,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,upsert_venue_rating,19280,"p_venue_id uuid, p_rating integer",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
