object_type,schema_name,object_name,grantee,privilege_type,is_grantable
table,storage,prefixes,authenticated,DELETE,NO
table,storage,prefixes,authenticated,INSERT,NO
table,storage,prefixes,authenticated,REFERENCES,NO
table,storage,prefixes,authenticated,TRIGGER,NO
table,storage,prefixes,authenticated,TRUNCATE,NO
table,storage,prefixes,authenticated,UPDATE,NO
table,supabase_functions,hooks,anon,DELETE,NO
table,supabase_functions,hooks,anon,INSERT,NO
table,supabase_functions,hooks,anon,REFERENCES,NO
table,supabase_functions,hooks,anon,TRIGGER,NO
table,supabase_functions,hooks,anon,TRUNCATE,NO
table,supabase_functions,hooks,anon,UPDATE,NO
table,supabase_functions,hooks,authenticated,DELETE,NO
table,supabase_functions,hooks,authenticated,INSERT,NO
table,supabase_functions,hooks,authenticated,REFERENCES,NO
table,supabase_functions,hooks,authenticated,TRIGGER,NO
table,supabase_functions,hooks,authenticated,TRUNCATE,NO
table,supabase_functions,hooks,authenticated,UPDATE,NO
table,supabase_functions,migrations,anon,DELETE,NO
table,supabase_functions,migrations,anon,INSERT,NO
table,supabase_functions,migrations,anon,REFERENCES,NO
table,supabase_functions,migrations,anon,TRIGGER,NO
table,supabase_functions,migrations,anon,TRUNCATE,NO
table,supabase_functions,migrations,anon,UPDATE,NO
table,supabase_functions,migrations,authenticated,DELETE,NO
table,supabase_functions,migrations,authenticated,INSERT,NO
table,supabase_functions,migrations,authenticated,REFERENCES,NO
table,supabase_functions,migrations,authenticated,TRIGGER,NO
table,supabase_functions,migrations,authenticated,TRUNCATE,NO
table,supabase_functions,migrations,authenticated,UPDATE,NO
