record_type,schema_name,function_name,identity_args,prokind,is_security_definer,owner_role,language,search_path_value,search_path_pinned,proacl_text,grantee,privilege_type
execute_grant,public,admin_get_venue_events,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_get_venue_events,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_get_venue_events,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_get_venues,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_get_venues,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_get_venues,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_list_moderation_log,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_list_moderation_log,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_list_moderation_log,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_list_reports,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_list_reports,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_list_reports,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_remove_venue_owner,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_remove_venue_owner,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_remove_venue_owner,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_restore_catch,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_restore_catch,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_restore_catch,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_restore_comment,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_restore_comment,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_restore_comment,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_set_venue_photo_primary,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_set_venue_photo_primary,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_set_venue_photo_primary,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_update_report_status,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_update_report_status,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_update_report_status,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_update_venue_booking,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_update_venue_booking,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_update_venue_booking,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_update_venue_event,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_update_venue_event,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_update_venue_event,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_update_venue_metadata,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_update_venue_metadata,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_update_venue_metadata,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_update_venue_metadata,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_update_venue_metadata,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_update_venue_metadata,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_update_venue_opening_hour,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_update_venue_opening_hour,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_update_venue_opening_hour,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_update_venue_pricing_tier,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_update_venue_pricing_tier,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_update_venue_pricing_tier,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_update_venue_rules,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_update_venue_rules,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_update_venue_rules,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_update_venue_species_stock,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_update_venue_species_stock,,,,,,,,,postgres,EXECUTE
